Name,Year of release,Image,title,country origin,Number of Episode,Aired Date,original network,Duration,Content Rating,Rating,Rank,popularity,watcher,Synopsis,Genre,Tags,Cast,watch on,director,Aired On,,,,,
Times,2021,https://i.mydramalist.com/0jj4e_4c.jpg?v=1,Times,South Korea,12,"Feb 20, 2021 - Mar 28, 2021",OCN,50 min,Not Yet Rated,7.7,2677,2121,"3,586","A passionate reporter with exceptional talent, Lee Jin Woo has dedicated his entire career to pursuing nothing but the truth. Committed to telling the whole story, Jin Woo will do whatever it takes to find and report the hard facts. A hard-working man with a nose for news, Jin Woo’s life takes an unexpected turn when a mysterious phone call connects him with Seo Jung In, a woman who claims to be living five years in the future.
A hard-nosed reporter with a burning passion for her work, Seo Jung In has a knack for finding the best stories. But sometimes digging deep uncovers some nasty truths. Following a string of leads, Jung In uncovers a dark plot that could shake the very foundations of the country. With the life of her father, South Korea’s President, Seo Ki Tae on the line, Jung In finds herself in a deadly race against time. But she’s not in this race alone. Mysteriously connected by phone to Lee Jin Woo, the two agree to join forces to save the president.
Living and working in two completely different times, Jin Woo and Jung In set out on a dangerous quest for the truth. But will they be able to stop the villainous masterminds plotting this heinous crime before it’s too late?
(Source: Viki)","Thriller,Crime,Drama,Fantasy,Political","Mystery, Time Warp, Journalist, Different Timelines, Reporter, Father-Daughter Relationship, Time Altering, Determined Female Lead, Hardworking Male Lead, Family Relationship",Lee Seo Jin Lee Jin WooMain RoleLee Joo Young Seo Jung InMain RoleKim Yeong Cheol Seo Ki TaeMain RoleMoon Jung Hee Kim Young JooMain RoleKim In Kwon Do Young Jae [Founding member of the Press Times]Support RoleMoon Ji In Myung Soo Kyung [Times employee]Support Role,Kocowa   Viki ,Yoon Jong Ho,"Saturday, Sunday",,,,,
Doom at Your Service,2021,https://i.mydramalist.com/xqxJr_4c.jpg?v=1,Doom at Your Service,South Korea,16,"May 10, 2021 - Jun 29, 2021","tvN,ViuTV",50 min,15+ - Teens 15 or older,8.4,377,117,"40,824","Tak Dong Kyung has been working hard ever since her parents passed away. Her life seemed more stable after working as a web novel editor for 6 years, but then she gets diagnosed with glioblastoma (brain cancer). She blames her unlucky life and wishes to curse everything to disappear, which unintentionally calls Myeol Mang, Doom himself - neither human nor god - to appear. 

Myeol Mang says that he can grant Dong Kyung's wishes. As her last hope, she makes a contract with Myeol Mang for a hundred days to live how she wants, risking her everything.

(Source: CJ ENM; edited by unninette at MyDramaList)","Comedy,Romance,Drama,Fantasy","Brain Cancer, Hardworking Female Lead, Eccentric Male Lead, Glioblastoma, Unlucky Female Lead, Fate, First Love, Orphan Female Lead, Brother-Sister Relationship, Deity","Park Bo Young Tak Dong KyungMain RoleSeo In Guk Kim Sa Ram / ""Myeol Mang""Main RoleLee Soo Hyuk Cha Joo IkMain RoleKang Tae Oh Lee Hyun GyuMain RoleShin Do Hyun Na Ji Na / ""Lee Hyun""Main RoleDawon Tak Seon Kyung [Dong Kyung's younger brother]Support Role",WeTV   Viki   Hulu  iflix ,Im Me Ah Ri,"Monday, Tuesday",,,,,
Mouse,2021,https://i.mydramalist.com/vlNOX_4c.jpg?v=1,Mouse,South Korea,20,"Mar3, 2021 - May 19, 2021",tvN,50 min,18+ Restricted (violence & profanity),8.7,84,250,"24,673","A suspenseful story that asks the key question, “What if we could identify psychopaths in advance?” A crazed serial killer’s ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking rookie police officer, Jung Ba Reum, comes face to face with the killer. While he survives his dangerous encounter with the psychopath, Jung Ba Reum finds his life completely changing before his eyes.

(Source: MyDramaList)","Thriller, Mystery, Sci-Fi","Thriller,Mystery,Sci-Fi",Lee Seung Gi Jung Ba ReumMain RoleLee Hee Joon Ko Moo ChiMain RolePark Joo Hyun Oh Bong YiMain RoleKyung Soo Jin Choi Hong JooMain RoleWoo Ji Hyun Koo Dong Goo [Ba Reum's friend]Support RoleAhn Jae Wook Han Seo Jun [Neurosurgeon]Support Role,WeTV  ,Also Known As: Mauseu,"Wednesday, Thursday",,,,,
Oh My Ladylord,2021,https://i.mydramalist.com/XNeKO_4c.jpg?v=1,Oh My Ladylord,South Korea,16,"Mar 24, 2021 - May 13, 2021","iQiyi,MBC",50 min,15+ - Teens 15 or older,6.7,5329,861,"9,445","Oh Joo In, a top rom-com actress, has been aiming to repurchase her old family home. The second it goes on sale, she buys it back, but it turns out that Han Bi Soo, an award-winning crime-thriller scriptwriter who has turned Joo In down for several roles, has been living there. 

As a man of many neuroses; disinfecting his surroundings and making sure everything is at a perfect angle, Han Bi Soo is so used to writing in his designated writing room that he can't seem to write anywhere else. So he enters into a contract with Joo In, to be allowed to use that room 24/7, on the condition that he calls her master.
(Source: kortkrachtig at MyDramaList)","Comedy,Romance,Family,Fantasy","Cohabitation, AFTER SCHOOL, Actor Playing Actor, Actress, CNBLUE, Idol Actor, Roommates, Family Conflict, Screenwriter, Heir",Lee Min Ki Han Bi SooMain RoleNana Oh Joo InMain RoleKang Min Hyuk Jung Yu JinMain RoleKim Ho Jung Yoon Jung Hwa [Joo In's mother]Support RoleLee Hwi Hyang Kang Hae Jin [Bi Soo's mother]Support RoleSun Woo Jae Duk Han Min Jun [Bi Soo's father]Support Role,Viki ,Jo Jin Kook,"Wednesday, Thursday",,,,,
My Name,2021,https://i.mydramalist.com/BoPp5_4c.jpg?v=1,My Name,South Korea,8,"Oct 15, 2021",Netflix,50 min,18+ Restricted (violence & profanity),8.7,93,342,"20,216","Following her father's murder, a revenge-driven woman puts her trust in a powerful crime boss — and enters the police force under his direction.

Yoon Ji Woo, a member of the organized crime ring, goes undercover as a police officer and harbors cold revenge in her heart. Helping Yoon Ji Woo go undercover is Choi Moo Jin, the boss of, the biggest drug ring in Korea, whose true motives are not easy to read.
Jeon Pil Do, a police detective in the Drug Investigation Unit. He is a stickler for rules who becomes Yoon Ji Woo’s partner when she joins the police. Cha Gi Ho, the team leader of the Drug Investigation Unit. He and Choi Moo Jin have long been enemies, with Cha Gi Ho vowing to take down his crime ring before he retires.
Jung Tae Joo, Choi Moo Jin’s subordinate in the drug ring. Because of his steadfast loyalty, he is Choi Moo Jin’s most trusted henchman. Do Gang Jae, a former member of the drug ring. After causing problems and getting kicked out of the gang, he vowed revenge against them.
(Source: Soompi,Netflix)","Action,Thriller,Crime","Revenge, Undercover Agent, Crime Boss, Gang, Strong Female Lead, Detective, Antihero, Double Identity, Noir, Drugs",Han So Hee Yoon Ji Woo / Oh Hye JinMain RolePark Hee SoonChoi Moo JinMain RoleAhn Bo Hyun Jeon Pil DoMain RoleLee Hak Joo Jung Tae Joo [Moo Jin's right-hand man]Support RoleKimSang Ho Cha Gi Ho [Drug Investigation unit team leader]Support RoleJang Yool Do Gang Jae [Dongcheon gang former member]Support Role,WeTV  ,Kim Jin Min,Friday,,,,,
River Where the Moon Rises,2021,https://i.mydramalist.com/jD3br_4c.jpg?v=1,River Where the Moon Rises,South Korea,20,"Feb 15, 2021 - Apr 20, 2021","KBS2,Viki,ViuTV",50 min,15+ - Teens 15 or older,7.9,1767,626,"12,815","Born a princess and raised a soldier, Pyeong Gang is a woman with big dreams and limitless ambition. Determined to become the first Empress of Goguryeo, Pyeong Gang will stop at nothing to make her dream come true. Clever and level-headed, Pyeong Gang is well aware of the obstacles that stand in her way, but she's more than capable of taking them on. However, things take an unexpected turn the day she meets On Dal, a peace-loving man whose sole goal in life is to live in harmony with those around him. 

On Dal is the exact opposite of the ambitious princess. He is an oasis of calm amid the turbulent storms in Pyeong Gang's life. The warrior princess soon finds herself falling for gentle On Dal. He's equally in love with the princess, whose heart he now possesses. He finds himself forsaking his principles to keep her safe, an endeavor proving to be increasingly difficult, as warring factions lethally vie for the throne. Forced to match both wits and strength against some of the most powerful people in Goguryeo, Pyeong Gang's quest for power could very well cost her everything. Does she have what it takes to realize her goals, or will the price prove to be too much to pay?

(Source: Viki)

~~ Adapted from the novel “Princess Pyeonggang” (평강공주) by Choi Sa Gyu (최사규).","Action,Historical,Romance,Political","Strong Female Lead, Smart Female Lead, Three Kingdoms Of Korea, Female Warrior, Female Lead Action Scenes, Revenge, Skilled Killer, War, Goguryeo Dynasty, Amnesia",Kim So Hyun Pyeong Gang / Yeom Ga Jin / Queen YeonMain RoleNa In Woo On DalMain RoleLee Ji Hoon Go GeonMain RoleChoi Yoo Hwa Hae Mo YongMain RoleKim Bup Rae King Pyeong Won [King of Goguryeo]Support RoleLee Hae Young Go Won Pyo [Gyeru Tribe's Gochuga]Support Role,Viki  Apple TV ,Han Ji Hoon,"Monday, Tuesday",,,,,
Undercover,2021,https://i.mydramalist.com/wEZ01_4c.jpg?v=1,Undercover,South Korea,16,"Apr 23, 2021 - Jun 12, 2021",jTBC,50 min,15+ - Teens 15 or older,7.9,1479,1692,"4,632","Han Jung Hyun is an agent at the Agency for National Security Planning known for his extraordinary quickness and boldness. He is living with a hidden identity when, during a top-secret mission, he falls in love with Choi Yeon Soo and eventually marries her. Jung Hyun is living as an ordinary husband and father, a happy fool for his wife and two children. However, the secrets of his past get caught in an uncontrollable whirlwind when his wife becomes nominated for a high-ranking government post. This could unravel his tightly woven family, his single most precious priority.

Choi Yeon Soo is a human rights lawyer who has lived for justice and truth, representing those who are weak and unfairly treated despite excelling throughout school and passing the bar exam at only 20. In recognition of her deep, steadfast beliefs and abilities, she becomes nominated as the first head of the Senior Civil Servant Corruption Investigations Unit. Little does she know that her new position will force her to face a shocking truth about the secretive past of her husband, the sole person she has unconditionally believed and trusted. A fierce battle begins with Jung Hyun as desperate to protect his family as Yeon Soo is to pursue justice from the huge forces that dominate and shake the country for profit. 
(Source: MyDramaList)

~~ A remake of the BBC One television series of the same name.","Action,Thriller,Crime,Drama","Corruption, Strong Female Lead, Double Identity, Political, Supportive Partner, Loving Husband, Strong Female Characters, Strong Male Lead, Smart Female Lead, Family Relationship",Ji Jin Hee Han Jung Hyun [Present]Main RoleKim Hyun Joo Choi Yeon Soo [Present]Main RoleYeon Woo Jin Han Jung Hyun/Lee Suk Gyu [Young]Main RoleHan Sun Hwa Choi Yeon Soo [Young]Main RoleYoo Sun Ho Han Seung Goo [Jung Hyun & Yeon Soo's son]Support RoleLee Jae In Han Seung Mi [Jung Hyun & Yeon Soo's daughter]Support Role,Viki  Kocowa  ,Song Hyun Wook,"Friday, Saturday",,,,,
My Roommate Is a Gumiho,2021,https://i.mydramalist.com/4dd4d_4c.jpg?v=1,My Roommate Is a Gumiho,South Korea,16,"May 26, 2021 - Jul 15, 2021","iQiyi,tvN",60 min,15+ - Teens 15 or older,8.4,326,141,"36,009","Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead.
One day, the drunk friend of Lee Dam, a university student, falls asleep on top of an expensive car whose owner is Woo Yeo. While Lee Dam struggles to take her friend away and Woo Yeo trying to help her, Woo Yeo's bead accidentally falls out of his mouth, and Lee Dam unintentionally swallows it. The bead can exist inside of a human for no more than 1 year and, afterward, the bead will break inside of that person causing the person to die. Not wanting to lose his chance in becoming a human, Woo Yeo explains to Lee Dam their predicament and suggests living together until they figure out a solution. Lee Dam, who has never had a boyfriend in her life, now lives with Shin Woo Yeo.

(Source: AsianWiki)

~~ Adapted from the webtoon ""My Roommate Is a Gumiho"" (간 떨어지는 동거) by Na (나).","Comedy,Romance,Fantasy","Gumiho, Nine-tailed Fox, Cohabitation, Supernatural, Nice Male Lead, Adapted From A Webtoon, College Student, Interspecies Romance, Friendship, Smart Male Lead",Jang Ki Yong Shin Woo YeoMain RoleLee Hye Ri Lee DamMain RoleKang Han Na Yang Hye SunMain RoleKim Do Wan Do Jae JinMain RoleBae In Hyuk Gye Sun WooMain RolePark Kyung Hye Choi Soo KyungSupport Role,Netflix ,"Baek Sun Woo,Choi Bo Rim","Wednesday, Thursday",,,,,
Sisyphus: The Myth,2021,https://i.mydramalist.com/xJdOy_4c.jpg?v=1,Sisyphus: The Myth,South Korea,16,"Feb 17, 2021 - Apr8, 2021","jTBC,Netflix",50 min,15+ - Teens 15 or older,7.8,2042,328,"20,679","An unfathomable incident introduces a genius engineer to dangerous secrets of the world — and to a woman from the future who's come looking for him.

Han Tae Sul, a co-founder of Quantum and Time, is a genius engineer with the highest level of coding skills and outstanding looks that outweighs his engineer fashion sense. Due to his innovative achievements, Quantum and Time is a world-class company, dubbed as ""The Miracle of South Korea's Engineering Industry."" In reality, Tae Sul has constantly caused his company's stocks to fluctuate after his brother's death ten years ago. One day, he witnesses something unbelievable. To reach the truth, he sets off on a dangerous journey.

Kang Seo Hae is a survivor of a future dystopian world. With the survival skills that she's learned from living amongst gangsters and warlords, she travels back to save Han Tae Sul. 
(Source: Netflix, Newsen)","Action,Thriller,Mystery,Sci-Fi","Time Travel, Genius, Rich Male Lead, Uncover A Truth, Death Of Sibling, Engineer, Sassy Female Lead, Pre-produced, Strong Female Lead, Future","Jo Seung Woo Han Tae SulMain RolePark Shin Hye Kang Seo HaeMain RoleKim Byung Chul Seo Won Ju / ""Sigma""Main RoleSung Dong Il President Park [President of Asia Mart]Support RoleTae In Ho Eddie Kim / Kim Seung Bok [Tae Sul's friend / Co-founder of Quantum & Time]Support RoleChae Jong Hyeop Sun / Choi Jae Sun [Chinese restaurant delivery guy]Support Role",Netflix  WeTV   Viki  Hulu  Apple TV  ,Jin Hyeok,"Wednesday, Thursday",,,,,
Beyond Evil,2021,https://i.mydramalist.com/Bym1q_4c.jpg?v=1,Beyond Evil,South Korea,16,"Feb 19, 2021 - Apr 10, 2021",jTBC,50 min,15+ - Teens 15 or older,8.8,66,263,"23,864","Meet the two fearless men willing to go to extreme lengths in their pursuit of a serial killer that has shaken up their quiet city: 
Lee Dong Sik, a once capable detective, is now demoted to perform menial tasks at the Manyang Police Substation. Just as he is beginning to settle into a peaceful life, his new superior, Detective Han Joo Won, is transferred in. Joo Won is an elite detective whose father is the star candidate for the National Police Agency’s next chief. Despite his admirable qualities and high social standing, Joo Won harbors a long-held secret.

When a string of gruesome killings occurs, a pattern takes shape that is oddly reminiscent of some cold serial-murder cases from 20 years prior. Dong Sik and Joo Won team up, vowing to stop this vicious culprit in his tracks. 
As their investigation proceeds, they are forced to look far deeper than what the evidence suggests, questioning the culpability of all those surrounding the case, including their own.
(Source: Kdramapal)","Thriller,Mystery,Psychological,Drama","Determined Male Lead, Suspense, Murder, Wrongfully Accused, Police, Smart Male Lead, Psychological Manipulation, Trauma, Detective, Serial Killer",Shin Ha Kyun Lee Dong ShikMain RoleYeo Jin Goo Han Joo WonMain RoleChoi Dae Hoon Park Jung JeMain RoleKim Shin Rok Oh Ji HwaMain RoleChoi Sung Eun Yoo Jae YiMain RoleChoi Jin Ho Han Ki Hwan [Joo Won's father / Deputy chief of the National Police Agency]Support Role,Netflix  WeTV   Viki  ,Kim Soo Jin,"Friday, Saturday",,,,,
